date,SAN_BOUN20240501_C1_S1,SAN_BOUN20240501_C1_S2,SAN_BOUN20240501_C1_S3,SAN_BOUN20240501_C2_S1,SAN_BOUN20240501_C2_S2,SAN_BOUN20240501_C3_S1,SAN_BOUN20240501_C3_S2,SAN_BOUN20240501_C3_S3,SAN_BOUN20240501_C3_S4,SAN_BOUN20240501_C5A_S1,SAN_BOUN20240501_C5A_S2,SAN_BOUN20240501_C5A_S3,SAN_BOUN20240501_C5A_S4,SAN_BOUN20240501_C5A_S5,SAN_BOUN20240501_C5A_S6,SAN_BOUN20240501_C5A_S7,SAN_BOUN20240501_C5A_S8,SAN_BOUN20240501_C5B_S1,SAN_BOUN20240501_C5B_S2,SAN_BOUN20240501_C5B_S3,SAN_BOUN20240501_C5B_S4,SAN_BOUN20240501_C5B_S5,SAN_BOUN20240501_C5B_S6,SAN_BOUN20240501_C5B_S7,SAN_BOUN20240501_C5B_S8,SAN_BOUN20240501_C5C_S1,SAN_BOUN20240501_C5C_S2,SAN_BOUN20240501_C5C_S3,SAN_BOUN20240501_C5C_S4,SAN_BOUN20240501_C5C_S5,SAN_BOUN20240501_C5C_S6,SAN_BOUN20240501_C5C_S7,SAN_BOUN20240501_C5C_S8,SAN_BOUN20240501_C5D_S1,SAN_BOUN20240501_C5D_S2,SAN_BOUN20240501_C5D_S3,SAN_BOUN20240501_C5D_S4,SAN_BOUN20240501_C5D_S5,SAN_BOUN20240501_C5D_S6,SAN_BOUN20240501_C5D_S7,SAN_BOUN20240501_C5D_S8,SAN_BOUN20240501_C6A_S1,SAN_BOUN20240501_C6A_S2,SAN_BOUN20240501_C6A_S3,SAN_BOUN20240501_C6A_S4,SAN_BOUN20240501_C6A_S5,SAN_BOUN20240501_C6A_S6,SAN_BOUN20240501_C6A_S7,SAN_BOUN20240501_C6A_S8,SAN_BOUN20240501_C6B_S1,SAN_BOUN20240501_C6B_S2,SAN_BOUN20240501_C6B_S3,SAN_BOUN20240501_C6B_S4,SAN_BOUN20240501_C6B_S5,SAN_BOUN20240501_C6B_S6,SAN_BOUN20240501_C6B_S7,SAN_BOUN20240501_C6B_S8,SAN_BOUN20240501_C6C_S1,SAN_BOUN20240501_C6C_S2,SAN_BOUN20240501_C6C_S3,SAN_BOUN20240501_C6C_S4,SAN_BOUN20240501_C6C_S5,SAN_BOUN20240501_C6C_S6,SAN_BOUN20240501_C6C_S7,SAN_BOUN20240501_C6C_S8,SAN_BOUN20240501_C6D_S1,SAN_BOUN20240501_C6D_S2,SAN_BOUN20240501_C6D_S3,SAN_BOUN20240501_C6D_S4,SAN_BOUN20240501_C6D_S5,SAN_BOUN20240501_C6D_S6,SAN_BOUN20240501_C6D_S7,SAN_BOUN20240501_C6D_S8,SAN_BOUN20240501_C7_S1,SAN_BOUN20240501_C7_S2,SAN_BOUN20240501_C7_S3
2022-10-01,3.95,4.18,3.6,0.81,5.1,4.09,4.62,4.79,4.69,2.75,0.63,-1.26,0.67,0.7,0.21,-0.41,3.29,2.4,0.37,-0.68,1.8,0.99,-0.18,-0.6,4.09,2.08,0.07,-1.35,3.18,0.83,-0.03,-0.68,4.09,2.57,0.33,-0.46,3.34,0.18,0.07,-1.93,4.09,3,0.35,0.44,0.13,0.33,-0.14,0.48,4.59,3.28,0.91,0.65,0.38,0.27,-0.8,0.62,5.31,2.45,0.4,0.2,0.35,0.09,-0.37,0.49,3.6,3.09,0.49,0.88,0.1,0.01,0.14,-2.25,2.46,,,
2023-01-01,3.26,4.62,2.6,0.79,5,2.16,2.21,2.77,2.48,2.77,0.67,-1.05,0.41,0.04,0.34,0.56,3.75,2.35,0.8,-1.77,1.61,0.39,-0.08,-1.14,2.16,2.12,0.43,-2.36,2.82,0.17,-0.13,-0.9,2.16,2.53,0.26,-1.87,2.73,-0.37,0.06,-1.19,2.16,3.02,0.54,0.24,0.16,0.28,-0.13,0.67,4.79,2.86,2.19,0.44,0.46,0.31,-0.45,-1.39,4.43,2.49,0.76,0.01,0.37,0.11,-0.49,-0.44,2.8,3.04,0.11,0.53,0.43,0.11,0.16,0.6,4.98,2.16,2.16,2.16
2023-04-01,4.03,4.33,3,0.72,5.2,3.26,2.88,2.85,2.69,2.79,0.61,-1.08,0.22,-0.14,0.26,0.02,2.69,2.34,0.66,-0.66,1.52,-0.32,-0.22,-0.06,3.26,2.16,0.67,-1.19,2.02,-0.52,-0.36,0.47,3.26,2.49,0.71,-1.06,1.16,-0.93,0.03,0.86,3.26,3.04,0.53,0.2,0.17,0.31,-0.14,-0.12,3.99,3,1.28,0.31,0.52,0.3,-1.02,-1.6,2.79,2.53,0.96,-0.09,0.36,0.1,-0.61,-0.15,3.1,2.99,1.3,0.69,0.52,0.08,0.14,1.76,7.47,3.26,3.26,3.26
2023-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.92,4.92,4.92
2023-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.96,2.96,2.96
2024-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.35,2.36,2.37
2024-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.75,2.75,2.76
2024-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.01,2.97,2.94
2024-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.83,2.76,2.7
2025-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.79,2.7,2.61
2025-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.91,2.78,2.65
2025-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.92,2.74,2.57
2025-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.87,2.65,2.43
